,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability
0,7,0.6755435508778312,0.5964866255327679,0.22086136865743455,1.2459472399249552,0.95
1,8,1.062720004768742,1.0669716625942762,0.3742734339069919,2.0208434500922046,0.95
2,9,1.4178026270360673,1.3467583148269,0.6405655395910685,2.6126015259650326,0.95
3,10,1.2962789965061368,1.2502286015072688,0.6232001555797821,1.916321676126217,0.95
4,11,1.2377125727962737,1.1702205496705715,0.565308381088244,2.2247535480479477,0.95
5,12,1.352810674121177,1.3202226094781713,0.7084145815073106,2.259742887538189,0.95
6,13,1.0627638573301785,1.0391302572729773,0.4641138413767121,1.6691650090490255,0.95
7,14,1.0165280886894303,1.0109078073938487,0.43083060521955446,1.8383325491773,0.95
8,15,0.6803940267624934,0.6110700303253191,0.24972334155404521,1.1819640736130423,0.95
9,16,0.789757688549695,0.7212873269456508,0.3858363342857104,1.3941668801414662,0.95
10,17,0.7272207571721934,0.7194139942005768,0.31273266256668125,1.2582964058645791,0.95
11,18,0.805959261857975,0.78733827241271,0.33458973045577334,1.4650276867623158,0.95
12,19,1.045740257847703,1.0417005065547198,0.6081522030320099,1.7000178158546566,0.95
13,20,1.851382908003957,1.8078361436330583,1.1850980470754218,2.7612800864631835,0.95
14,21,2.989382957936451,2.9444405657658765,2.1997217971281455,4.223907175205243,0.95
15,22,4.345577266826702,4.215487667232836,3.1155942814861195,5.707482726604563,0.95
16,23,4.929022902533472,4.760394124581177,3.9091103623148973,5.980496994140632,0.95
17,24,5.392585478935283,5.32618004693642,4.119098140521054,6.954857042979088,0.95
18,25,5.071812635225753,5.079526975153846,4.009568105790478,6.174322462278729,0.95
19,26,5.196758670378301,5.167756833502997,4.022486705817857,6.461498419926894,0.95
20,27,4.692249803175433,4.656242179871681,3.7680408163797936,5.968139053544169,0.95
21,28,3.8409614957164977,3.7786149392987602,3.0919927663674063,5.0169481812227,0.95
22,29,2.548165118312237,2.530871127033091,1.9984646264153936,3.436078531754015,0.95
23,30,1.8447813127027786,1.8215813086475212,1.330793171150456,2.5015570242504888,0.95
24,31,1.692739298038741,1.678019078022239,1.173604321467179,2.341958880484403,0.95
25,32,1.393422749131238,1.3793250203622982,0.9568945997723778,1.9826257173334585,0.95
26,33,1.2383243755036504,1.181737401959468,0.905315758320674,1.6836422719814115,0.95
27,34,1.19175332776414,1.1912180283476888,0.8329476507971636,1.6807268382184521,0.95
28,35,1.092755767305931,1.091876120045391,0.7501698860257778,1.4632555825786453,0.95
29,36,1.055486045543666,1.0191897145811795,0.7024055250775287,1.5944845579699405,0.95
30,37,1.3269556954497719,1.308506714898745,0.9979288066301105,1.8932680396507493,0.95
31,38,1.5916680520721258,1.5746648971458936,1.1622074842517907,2.098972307725732,0.95
32,39,1.8389005766130742,1.8572428404848733,1.3071333969392667,2.289631595044907,0.95
33,40,1.8950878339315358,1.8400994233151233,1.3729394958233143,2.460934012907421,0.95
34,41,1.905729965958369,1.8771712533107696,1.4322700511795958,2.469113990588067,0.95
35,42,1.9563944883335713,1.937125309075667,1.3723901668311094,2.550017604013569,0.95
36,43,1.90258499497383,1.913599498569965,1.4769820560720686,2.4311986374953265,0.95
37,44,1.5749947805661821,1.5835516587660676,1.115900537902658,1.9958806592326659,0.95
38,45,1.3023968988004486,1.255136162510917,0.9394672753302018,1.7621947713149109,0.95
39,46,1.0381017850940575,1.0064126846297188,0.7016467892726306,1.5219515000701715,0.95
40,47,0.8023569019072114,0.7884206954578631,0.5438826494265736,1.1494353550094065,0.95
41,48,0.6218589997019052,0.6145163329263508,0.43212570819498075,0.854750170151214,0.95
42,49,0.6133434110464245,0.5794667334231953,0.43960748049526,0.9137593514197635,0.95
43,50,0.6548704856043029,0.6515779391859278,0.4333417361357247,0.9337125000821026,0.95
44,51,0.596987049063213,0.599441229321465,0.3998548819291482,0.7974138603221417,0.95
45,52,0.586065820503023,0.5628194321276913,0.4112144226311903,0.9515131109139954,0.95
46,53,0.5432596152172303,0.5129803554594949,0.3783790217363646,0.8626105918034053,0.95
47,54,0.5639493237338029,0.5393008742997185,0.397908979988781,0.8312923479479133,0.95
48,55,0.5981565097419339,0.5845163982273247,0.38913787930110333,0.9506784624612773,0.95
49,56,0.5498107169506479,0.535953176681415,0.3934152736507941,0.8359977871356121,0.95
50,57,0.5098449171169357,0.4894710741865423,0.33274248291109904,0.7949879445412019,0.95
51,58,0.47499138749560066,0.45718387399298843,0.3320124960997014,0.6380635309324982,0.95
52,59,0.48889309831225275,0.4964546888427197,0.3360573742930571,0.6724200145904046,0.95
53,60,0.5108484583106929,0.5012858884417379,0.35721525773737206,0.7282305948437479,0.95
54,61,0.4726811016056401,0.4701664493707739,0.316825703569686,0.7480101877778873,0.95
55,62,0.5337960100628902,0.5182404122325974,0.3401928570734678,0.8512249780355373,0.95
56,63,0.4955665260821789,0.4797189907342524,0.32460860144185194,0.6850425463431544,0.95
57,64,0.5164638694481098,0.49827558969707186,0.32379374608734957,0.7885644253373737,0.95
58,65,0.4940490950327141,0.4804563216799556,0.3492568542722744,0.7309224173951564,0.95
59,66,0.4632313344744886,0.456082263771612,0.2613389342233135,0.7646688462069972,0.95
60,67,0.4567203221346133,0.4527969566409046,0.2819483536488522,0.6652654365321712,0.95
61,68,0.485937981164431,0.4729213212727809,0.34711846454085993,0.7047296932779146,0.95
62,69,0.4849647107432786,0.4615394996109953,0.30187008402247245,0.7319348070564753,0.95
63,70,0.5431172400658071,0.5196790031299455,0.3438296797136997,0.8534808491965753,0.95
64,71,0.5322160729499217,0.5043352196599384,0.3637701793674771,0.7817666173490686,0.95
65,72,0.6286004717806284,0.5964657770438047,0.4423486767968612,1.0508526067030353,0.95
66,73,0.6190675275417078,0.6223505548303128,0.4013211936246787,0.8521904632148066,0.95
67,74,0.6272196232638619,0.609452058038412,0.4186921575664537,1.093650426884368,0.95
68,75,0.5816610634090548,0.564533870175404,0.3391394147592604,0.8406614095862814,0.95
69,76,0.5430303299959439,0.5299007915291951,0.33384766149687634,0.771450884954287,0.95
70,77,0.530811078270895,0.532342207185792,0.3198690843678199,0.7883521746350552,0.95
71,78,0.5282770198650707,0.5289668900335152,0.3269575006438957,0.7713601244843329,0.95
72,79,0.42694081058315303,0.4281597514921072,0.23742110974096978,0.6111166789039804,0.95
73,80,0.4605637168797999,0.449409793753455,0.26572199840458344,0.6670076783455434,0.95
74,81,0.424467290333658,0.39455480184877645,0.2487509674734496,0.7975035709322607,0.95
75,82,0.5522378242795775,0.5415827148791925,0.31889973971632485,0.8338811612853474,0.95
76,83,0.5282601515036199,0.5160962276499852,0.3277821907344366,0.7733798016432802,0.95
77,84,0.5920657364106877,0.5820204892599037,0.348934628333371,0.7930129504417389,0.95
78,85,0.5272201897448034,0.5080661992678022,0.3023845381922235,0.8648764392611177,0.95
79,86,0.6153631465250144,0.5780743789054665,0.3887082351576153,0.966954256316108,0.95
80,87,0.5545880467442594,0.5614990195693461,0.27759167750233976,0.7874485560443178,0.95
81,88,0.5470158470309424,0.5391729880498186,0.28312575344247276,0.8268393647409514,0.95
82,89,0.5471528213248038,0.5369124293255131,0.3210974881071362,0.8414276043060963,0.95
83,90,0.536021378107917,0.5131663018839869,0.3271959562187537,0.751471980880755,0.95
84,91,0.5094156363465431,0.5114055293077886,0.25974147613808857,0.7671772558299343,0.95
85,92,0.5111549864260989,0.4781385677391749,0.24509209399788595,0.996821216946774,0.95
86,93,0.45688374193509423,0.4180925047459161,0.22232959234156793,0.8624775307689592,0.95
87,94,0.44568279960847157,0.4423528025447887,0.22312388337051428,0.7251916369000752,0.95
88,95,0.46630300285746984,0.43153618437612173,0.24351505767800583,0.961822819150451,0.95
89,96,0.45648542212852855,0.43001913416854554,0.19296419883276994,0.7546065469668352,0.95
90,97,0.3932051031923768,0.39080957788559745,0.21335788690061022,0.7095308097075931,0.95
91,98,0.3927331254409694,0.3759106582199394,0.1950533427649091,0.7017694210090655,0.95
92,99,0.37381802705873485,0.35279396771601235,0.21382023009259443,0.778904415363516,0.95
93,100,0.4061867855391044,0.3819421280208577,0.1673744414551057,0.781789262268733,0.95
94,101,0.4760233892260186,0.44835028693082657,0.1958308571754127,0.8901438361638085,0.95
95,102,0.4304640902432268,0.37232176198360095,0.22039680949708157,0.7905890410994987,0.95
96,103,0.36546049772384676,0.33720987559986815,0.19401718075997076,0.6084038037516939,0.95
97,104,0.3363068519390766,0.32819263878382526,0.10337374628514266,0.5948742791422702,0.95
98,105,0.4095761001423001,0.4225970003727295,0.16233948067535126,0.6384705934712062,0.95
99,106,0.36852635549576995,0.33424549298145034,0.16606641378452267,0.6745838334255935,0.95
