"current","time","voltage"
 3.98410585685994036e-04, 0.00000000000000000e+00,-8.00000000000000000e+01
 3.98410665791929918e-04, 2.50000000000000000e+01,-7.99999999999999858e+01
 3.98410744049573827e-04, 5.00000000000000000e+01,-7.99999999999999858e+01
 3.98410822307217682e-04, 7.50000000000000000e+01,-8.00000000000000000e+01
 3.98410900564861645e-04, 1.00000000000000000e+02,-8.00000000000000000e+01
 3.98410978822505500e-04, 1.25000000000000000e+02,-8.00000000000000000e+01
 3.98411057080149409e-04, 1.50000000000000000e+02,-8.00000000000000000e+01
 3.98411135337793318e-04, 1.75000000000000000e+02,-8.00000000000000000e+01
 3.98411213595437335e-04, 2.00000000000000000e+02,-8.00000000000000000e+01
 3.98411291853081190e-04, 2.25000000000000000e+02,-8.00000000000000000e+01
 3.98411370110725099e-04, 2.50000000000000000e+02,-8.00000000000000000e+01
 3.98411448368369008e-04, 2.75000000000000000e+02,-8.00000000000000000e+01
 3.98411526626012917e-04, 3.00000000000000000e+02,-8.00000000000000000e+01
 3.98411604883656826e-04, 3.25000000000000000e+02,-8.00000000000000000e+01
 3.98411683141300789e-04, 3.50000000000000000e+02,-8.00000000000000000e+01
 3.98411761398944643e-04, 3.75000000000000000e+02,-8.00000000000000000e+01
 3.98411839656588498e-04, 4.00000000000000000e+02,-7.99999999999999858e+01
 3.98411917914232461e-04, 4.25000000000000000e+02,-8.00000000000000000e+01
 3.98411996171876370e-04, 4.50000000000000000e+02,-8.00000000000000000e+01
 3.98412074429520279e-04, 4.75000000000000000e+02,-8.00000000000000000e+01
 3.98412152687164188e-04, 5.00000000000000000e+02,-8.00000000000000000e+01
 3.98412230944808151e-04, 5.25000000000000000e+02,-8.00000000000000142e+01
 3.98412309202452060e-04, 5.50000000000000000e+02,-8.00000000000000000e+01
 3.98412387460095969e-04, 5.75000000000000000e+02,-8.00000000000000000e+01
 3.98412449394920805e-04, 6.00000000000000000e+02,-8.00000000000000000e+01
 3.98412452200349113e-04, 6.25000000000000000e+02,-8.00000000000000000e+01
 3.98412455005777366e-04, 6.50000000000000000e+02,-7.99999999999999858e+01
 3.98412457811205619e-04, 6.75000000000000000e+02,-8.00000000000000000e+01
 3.98412460616633872e-04, 7.00000000000000000e+02,-7.99999999999999858e+01
 3.98412463422062125e-04, 7.25000000000000000e+02,-7.99999999999999858e+01
 3.98412466227490432e-04, 7.50000000000000000e+02,-8.00000000000000000e+01
 3.98412469032918630e-04, 7.75000000000000000e+02,-7.99999999999999858e+01
 3.98412471838346938e-04, 8.00000000000000000e+02,-8.00000000000000000e+01
 3.98412474643775191e-04, 8.25000000000000000e+02,-7.99999999999999858e+01
 3.98412477449203444e-04, 8.50000000000000000e+02,-7.99999999999999858e+01
 3.98412480254631751e-04, 8.75000000000000000e+02,-8.00000000000000000e+01
 3.98412483060060004e-04, 9.00000000000000000e+02,-7.99999999999999858e+01
 3.98412485865488311e-04, 9.25000000000000000e+02,-8.00000000000000000e+01
 3.98412488670916564e-04, 9.50000000000000000e+02,-7.99999999999999858e+01
 3.98412491476344817e-04, 9.75000000000000000e+02,-7.99999999999999858e+01
 3.98412494281773070e-04, 1.00000000000000000e+03,-8.00000000000000000e+01
 3.98412497087201377e-04, 1.02500000000000000e+03,-8.00000000000000000e+01
 3.98412499892629576e-04, 1.05000000000000000e+03,-8.00000000000000000e+01
 3.98412502698057883e-04, 1.07500000000000000e+03,-8.00000000000000000e+01
 3.98412505503486082e-04, 1.10000000000000000e+03,-7.99999999999999858e+01
 3.98412508308914389e-04, 1.12500000000000000e+03,-7.99999999999999858e+01
 3.98412511114342696e-04, 1.15000000000000000e+03,-8.00000000000000000e+01
 3.98412513919770949e-04, 1.17500000000000000e+03,-8.00000000000000000e+01
 3.98412516725199202e-04, 1.20000000000000000e+03,-8.00000000000000000e+01
 3.98412519530627455e-04, 1.22500000000000000e+03,-7.99999999999999858e+01
 3.98412522336055708e-04, 1.25000000000000000e+03,-7.99999999999999858e+01
 3.98412525141484015e-04, 1.27500000000000000e+03,-8.00000000000000000e+01
 3.98412527946912268e-04, 1.30000000000000000e+03,-8.00000000000000000e+01
 3.98412530752340521e-04, 1.32500000000000000e+03,-8.00000000000000000e+01
 3.98412533557768829e-04, 1.35000000000000000e+03,-8.00000000000000000e+01
 3.98412536363197082e-04, 1.37500000000000000e+03,-8.00000000000000000e+01
 3.98412539168625335e-04, 1.40000000000000000e+03,-8.00000000000000000e+01
 3.98412541974053588e-04, 1.42500000000000000e+03,-7.99999999999999858e+01
 3.98412544779481841e-04, 1.45000000000000000e+03,-7.99999999999999858e+01
 3.98412547584910148e-04, 1.47500000000000000e+03,-8.00000000000000000e+01
 3.98412550390338455e-04, 1.50000000000000000e+03,-8.00000000000000000e+01
 3.98412553195766654e-04, 1.52500000000000000e+03,-8.00000000000000000e+01
 3.98412556001194961e-04, 1.55000000000000000e+03,-7.99999999999999858e+01
 3.98412558806623214e-04, 1.57500000000000000e+03,-7.99999999999999858e+01
 3.98412561612051467e-04, 1.60000000000000000e+03,-8.00000000000000000e+01
 3.98412564417479774e-04, 1.62500000000000000e+03,-8.00000000000000000e+01
 3.98412567222908027e-04, 1.65000000000000000e+03,-8.00000000000000000e+01
 3.98412570028336280e-04, 1.67500000000000000e+03,-8.00000000000000000e+01
 3.98412572833764587e-04, 1.70000000000000000e+03,-8.00000000000000000e+01
 3.98412575639192840e-04, 1.72500000000000000e+03,-8.00000000000000000e+01
 3.98412578444621147e-04, 1.75000000000000000e+03,-8.00000000000000000e+01
 3.98412581250049346e-04, 1.77500000000000000e+03,-7.99999999999999858e+01
 3.98412584055477653e-04, 1.80000000000000000e+03,-8.00000000000000000e+01
 3.98412586860905961e-04, 1.82500000000000000e+03,-8.00000000000000000e+01
 3.98412589666334159e-04, 1.85000000000000000e+03,-8.00000000000000000e+01
 3.98412592471762412e-04, 1.87500000000000000e+03,-8.00000000000000000e+01
 3.98412595277190720e-04, 1.90000000000000000e+03,-8.00000000000000000e+01
 3.98412598082618973e-04, 1.92500000000000000e+03,-8.00000000000000000e+01
 3.98412600888047226e-04, 1.95000000000000000e+03,-8.00000000000000000e+01
 3.98412603693475533e-04, 1.97500000000000000e+03,-7.99999999999999858e+01
 3.98412606498903786e-04, 2.00000000000000000e+03,-8.00000000000000000e+01
-1.04555885348382900e-03, 2.02500000000000000e+03,-1.00000000000000014e+02
-9.04520762833967346e-04, 2.05000000000000000e+03,-1.00000000000000000e+02
-8.31721739550554478e-04, 2.07500000000000000e+03,-1.00000000000000000e+02
-7.93337669388162708e-04, 2.10000000000000000e+03,-1.00000000000000000e+02
-7.71676367395882274e-04, 2.12500000000000000e+03,-1.00000000000000000e+02
-7.60577295490388688e-04, 2.15000000000000000e+03,-1.00000000000000000e+02
-7.54249477471112583e-04, 2.17500000000000000e+03,-1.00000000000000014e+02
-7.51113618090217330e-04, 2.20000000000000000e+03,-1.00000000000000000e+02
-7.49326674364387277e-04, 2.22500000000000000e+03,-1.00000000000000014e+02
-7.48367828087423827e-04, 2.25000000000000000e+03,-1.00000000000000000e+02
-7.47819805146306658e-04, 2.27500000000000000e+03,-1.00000000000000000e+02
-7.47512559520111105e-04, 2.30000000000000000e+03,-1.00000000000000000e+02
-7.47333337400964571e-04, 2.32500000000000000e+03,-1.00000000000000000e+02
-7.47241616716464514e-04, 2.35000000000000000e+03,-1.00000000000000000e+02
-7.47183878742318608e-04, 2.37500000000000000e+03,-1.00000000000000014e+02
-7.47166028231443288e-04, 2.40000000000000000e+03,-1.00000000000000000e+02
-7.47148177720568184e-04, 2.42500000000000000e+03,-1.00000000000000000e+02
-7.47136004947063833e-04, 2.45000000000000000e+03,-1.00000000000000000e+02
-7.47124235927768476e-04, 2.47500000000000000e+03,-1.00000000000000014e+02
-7.47110927960654547e-04, 2.50000000000000000e+03,-1.00000000000000000e+02
-7.47096423046377271e-04, 2.52500000000000000e+03,-1.00000000000000000e+02
-7.47084135022273057e-04, 2.55000000000000000e+03,-1.00000000000000000e+02
-7.47081212866963231e-04, 2.57500000000000000e+03,-1.00000000000000000e+02
-7.47078290711653405e-04, 2.60000000000000000e+03,-1.00000000000000000e+02
-7.47075368556343578e-04, 2.62500000000000000e+03,-1.00000000000000000e+02
-7.47072446401033643e-04, 2.65000000000000000e+03,-1.00000000000000000e+02
-7.47069524245723817e-04, 2.67500000000000000e+03,-1.00000000000000000e+02
-7.47066602090414099e-04, 2.70000000000000000e+03,-1.00000000000000014e+02
-7.47063679935104055e-04, 2.72500000000000000e+03,-1.00000000000000000e+02
-7.47060757779794337e-04, 2.75000000000000000e+03,-1.00000000000000000e+02
-7.47059226502528001e-04, 2.77500000000000000e+03,-9.99999999999999858e+01
-7.47058785216465080e-04, 2.80000000000000000e+03,-1.00000000000000000e+02
-7.47058343930402159e-04, 2.82500000000000000e+03,-1.00000000000000000e+02
-7.47057902644339238e-04, 2.85000000000000000e+03,-1.00000000000000000e+02
-7.47057461358276208e-04, 2.87500000000000000e+03,-9.99999999999999858e+01
-7.47057020072213395e-04, 2.90000000000000000e+03,-1.00000000000000000e+02
-7.47056578786150583e-04, 2.92500000000000000e+03,-1.00000000000000000e+02
-7.47056137500087553e-04, 2.95000000000000000e+03,-1.00000000000000000e+02
-7.47055696214024524e-04, 2.97500000000000000e+03,-1.00000000000000000e+02
-7.47055254927961711e-04, 3.00000000000000000e+03,-9.99999999999999858e+01
-7.47054813641898898e-04, 3.02500000000000000e+03,-1.00000000000000000e+02
-7.47054372355835869e-04, 3.05000000000000000e+03,-1.00000000000000000e+02
-7.47053931069772948e-04, 3.07500000000000000e+03,-9.99999999999999858e+01
-7.47053715677097681e-04, 3.10000000000000000e+03,-1.00000000000000000e+02
-7.47053686898017542e-04, 3.12500000000000000e+03,-1.00000000000000000e+02
-7.47053658118937295e-04, 3.15000000000000000e+03,-1.00000000000000000e+02
-7.47053629339857156e-04, 3.17500000000000000e+03,-1.00000000000000000e+02
-7.47053600560777125e-04, 3.20000000000000000e+03,-1.00000000000000000e+02
-7.47053571781696878e-04, 3.22500000000000000e+03,-1.00000000000000000e+02
-7.47053543002616739e-04, 3.25000000000000000e+03,-1.00000000000000000e+02
-7.47053514223536708e-04, 3.27500000000000000e+03,-1.00000000000000000e+02
-7.47053485444456569e-04, 3.30000000000000000e+03,-1.00000000000000014e+02
-7.47053456665376430e-04, 3.32500000000000000e+03,-1.00000000000000014e+02
-7.47053427886296183e-04, 3.35000000000000000e+03,-1.00000000000000000e+02
-7.47053399107216153e-04, 3.37500000000000000e+03,-1.00000000000000014e+02
-7.47053370328135905e-04, 3.40000000000000000e+03,-1.00000000000000014e+02
-7.47053341549055766e-04, 3.42500000000000000e+03,-1.00000000000000000e+02
-7.47053312769975627e-04, 3.45000000000000000e+03,-1.00000000000000014e+02
-7.47053283990895380e-04, 3.47500000000000000e+03,-1.00000000000000000e+02
-7.47053255211815349e-04, 3.50000000000000000e+03,-1.00000000000000014e+02
-7.47053226432735102e-04, 3.52500000000000000e+03,-1.00000000000000014e+02
-7.47053197653655071e-04, 3.55000000000000000e+03,-1.00000000000000014e+02
-7.47053168874574824e-04, 3.57500000000000000e+03,-1.00000000000000000e+02
-7.47053140095494685e-04, 3.60000000000000000e+03,-1.00000000000000014e+02
-7.47053111316414546e-04, 3.62500000000000000e+03,-1.00000000000000014e+02
-7.47053082537334516e-04, 3.65000000000000000e+03,-1.00000000000000028e+02
-7.47053053758254268e-04, 3.67500000000000000e+03,-1.00000000000000000e+02
-7.47053024979174021e-04, 3.70000000000000000e+03,-1.00000000000000000e+02
-7.47052996200093990e-04, 3.72500000000000000e+03,-1.00000000000000000e+02
-7.47052967421013743e-04, 3.75000000000000000e+03,-1.00000000000000014e+02
-7.47052938641933604e-04, 3.77500000000000000e+03,-1.00000000000000000e+02
-7.47052909862853465e-04, 3.80000000000000000e+03,-1.00000000000000014e+02
-7.47052881083773218e-04, 3.82500000000000000e+03,-1.00000000000000000e+02
-7.47052852304693187e-04, 3.85000000000000000e+03,-1.00000000000000014e+02
-7.47052823525613048e-04, 3.87500000000000000e+03,-1.00000000000000014e+02
-7.47052794746532909e-04, 3.90000000000000000e+03,-1.00000000000000000e+02
-7.47052765967452770e-04, 3.92500000000000000e+03,-1.00000000000000014e+02
-7.47052737188372523e-04, 3.95000000000000000e+03,-1.00000000000000014e+02
-7.47052708409292384e-04, 3.97500000000000000e+03,-1.00000000000000014e+02
-7.47052679630212354e-04, 4.00000000000000000e+03,-1.00000000000000014e+02
-7.47052650851132106e-04, 4.02500000000000000e+03,-1.00000000000000000e+02
-7.47052622072051967e-04, 4.05000000000000000e+03,-1.00000000000000014e+02
-7.47052593292971720e-04, 4.07500000000000000e+03,-1.00000000000000014e+02
-7.47052564513891689e-04, 4.10000000000000000e+03,-1.00000000000000014e+02
-7.47052535734811550e-04, 4.12500000000000000e+03,-1.00000000000000014e+02
-7.47052533030382313e-04, 4.15000000000000000e+03,-1.00000000000000014e+02
-7.47052565345740060e-04, 4.17500000000000000e+03,-1.00000000000000000e+02
-7.47052597661097806e-04, 4.20000000000000000e+03,-1.00000000000000000e+02
-7.47052629976455661e-04, 4.22500000000000000e+03,-1.00000000000000014e+02
-7.47052662291813299e-04, 4.25000000000000000e+03,-1.00000000000000000e+02
-7.47052694607171154e-04, 4.27500000000000000e+03,-1.00000000000000000e+02
-7.47052726922528792e-04, 4.30000000000000000e+03,-1.00000000000000014e+02
-7.47052759237886647e-04, 4.32500000000000000e+03,-1.00000000000000000e+02
-7.47052791553244394e-04, 4.35000000000000000e+03,-1.00000000000000000e+02
-7.47052823868602032e-04, 4.37500000000000000e+03,-1.00000000000000000e+02
